price,nav-link,description,listing-location,bed,bath,carport,surface_area,building_area
700,https://www.rumah123.com/properti/sleman/hos15830839/,Dalam Perumahan Condongcatur Utara Kampus Upn Jogja,"Condong Catur, Sleman",3,3,1,150,95
648,https://www.rumah123.com/properti/sleman/hos17165416/,Rumah Dalam Perumahan Grand Tlogoadi,"Mlati, Sleman",3,2,2,134,90
1941,https://www.rumah123.com/properti/sleman/hos14697093/,"Dijual Rumah Mewah Pogung, Belakang Kampus Ugm Jogja","Mlati, Sleman",4,5,1,288,400
275,https://www.rumah123.com/properti/sleman/hos16162903/,Rumah Murah Di Jogja Bisa Kpr Tanpa Bank Dp Ringan Dekat Umy,"Gamping, Sleman",2,1,1,60,30
614,https://www.rumah123.com/properti/sleman/hos15786924/,Dijual Rumah Berbah Jogja Ada Jacuzzi Dekat Ambarrukmo,"Berbah, Sleman",3,2,1,107,100
1171,https://www.rumah123.com/properti/yogyakarta/hos15689498/,"Rumah Dijual Wedomartani Jogja, Siap Huni Dekat Jogja Bay","Sleman, Yogyakarta",4,5,1,128,250
660,https://www.rumah123.com/properti/sleman/hos14713960/,DIJUAL KOSAN FULL PENGHUNI di Jl. Angga Jaya 2 Concat Lantai SHM,"Condong Catur, Sleman",7,2,1,60,120
515,https://www.rumah123.com/properti/sleman/hos17165135/,CANTIK MINIMALIS HALAMAN LUAS MAGUWOHARJO,"Depok, Sleman",2,1,2,166,36
620,https://www.rumah123.com/properti/sleman/hos17165068/,AKSES JOOS!! TANAH PEKARANGAN MANGKU ASPAL atu RUMAH SIAP BANGUN,"Kalasan, Sleman",3,2,,140,80
413,https://www.rumah123.com/properti/sleman/hos17165105/,Rumah Moderen Dilokasi Nyaman Dekat Ibarbo Park Sleman,"Mlati, Sleman",2,1,1,120,36
801,https://www.rumah123.com/properti/sleman/hos17165072/,Rumah cluster dekat Hotel Hyatt Palagan,"Ngaglik, Sleman",4,3,2,118,140
555,https://www.rumah123.com/properti/sleman/hos17165069/,Rumah Cantik Full Furnished Harga Terjangakau Di Sleman Jogja,"Ngemplak, Sleman",3,2,1,100,85
687,https://www.rumah123.com/properti/sleman/hos17164955/,Rumah Terbaru Full Furnish Dekat Stadion Maguwo Jogja,"Ngemplak, Sleman",3,2,2,116,115
